observation_date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),ZAFPROMANMISMEI,South Africa Industrial Production
1996-01-01,1996,1,1,1,31,1996-01-01,1996-01-31,1996-01-01,1996-01-31,81.5990181211026,81.60
1996-02-01,1996,2,1,2,29,1996-02-01,1996-02-29,1996-02-01,1996-02-29,79.0204905325680,79.02
1996-03-01,1996,3,1,3,31,1996-03-01,1996-03-31,1996-03-01,1996-03-29,83.3400268883591,83.34
1996-04-01,1996,4,1,4,30,1996-04-01,1996-04-30,1996-04-01,1996-04-30,84.8152602325429,84.82
1996-05-01,1996,5,1,5,31,1996-05-01,1996-05-31,1996-05-01,1996-05-31,84.8128873448944,84.81
1996-06-01,1996,6,1,6,30,1996-06-01,1996-06-30,1996-06-03,1996-06-28,85.6057262086606,85.61
1996-07-01,1996,7,1,7,31,1996-07-01,1996-07-31,1996-07-01,1996-07-31,84.5884927633626,84.59
1996-08-01,1996,8,1,8,31,1996-08-01,1996-08-31,1996-08-01,1996-08-30,86.2711015186101,86.27
1996-09-01,1996,9,1,9,30,1996-09-01,1996-09-30,1996-09-02,1996-09-30,84.6619574439626,84.66
1996-10-01,1996,10,1,10,31,1996-10-01,1996-10-31,1996-10-01,1996-10-31,85.6393971811795,85.64
1996-11-01,1996,11,1,11,30,1996-11-01,1996-11-30,1996-11-01,1996-11-29,85.2744390849955,85.27
1996-12-01,1996,12,1,12,31,1996-12-01,1996-12-31,1996-12-02,1996-12-31,81.1494947672974,81.15
1997-01-01,1997,1,1,1,31,1997-01-01,1997-01-31,1997-01-01,1997-01-31,85.3014714171682,85.30
1997-02-01,1997,2,1,2,28,1997-02-01,1997-02-28,1997-02-03,1997-02-28,86.7411741994626,86.74
1997-03-01,1997,3,1,3,31,1997-03-01,1997-03-31,1997-03-03,1997-03-31,84.1522202832284,84.15
1997-04-01,1997,4,1,4,30,1997-04-01,1997-04-30,1997-04-01,1997-04-30,91.8972206616153,91.90
